cover,title,author,publisher,isbn,timestamp,activity,library,details
https://img3.od-cdn.com/ImageType-100/2390-1/{AA5713CE-436A-4F34-A9DB-18AE192A0E58}IMG100.JPG,Full Measures,Rebecca Yarros,"Entangled Publishing, LLC",9781622664344,"May 08, 2026 10:40",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1694-1/{9A02D69C-6055-454B-93F2-74DC9B361AAF}IMG100.JPG,Fourth Wing,Rebecca Yarros,"Recorded Books, Inc.",9781705085042,"May 07, 2026 15:18",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"May 07, 2026 13:38",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"May 07, 2026 12:31",Returned,LION: Libraries Online,on due date
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"May 05, 2026 21:48",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/1191-1/{A53FDC7C-CA8D-49F7-BC83-B20478144AB0}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Books on Tape,9780593614204,"May 05, 2026 21:48",Returned,LION: Libraries Online, 8 days  early
https://img2.od-cdn.com/ImageType-100/1523-1/{72552E21-574F-4C82-B5AD-D2633CC86989}IMG100.JPG,The Thursday Murder Club,Richard Osman,Penguin Publishing Group,9781984880970,"May 05, 2026 11:00",Returned,LION: Libraries Online, 23 hours  early
https://img1.od-cdn.com/ImageType-100/1191-1/{A53FDC7C-CA8D-49F7-BC83-B20478144AB0}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Books on Tape,9780593614204,"April 30, 2026 10:41",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/2390-1/{B59E0C7E-EC1E-4EF3-A9AD-4412125C5641}IMG100.JPG,Fourth Wing,Rebecca Yarros,"Entangled Publishing, LLC",9781649374080,"April 24, 2026 15:34",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/2390-1/{F1F454B1-C4B5-46AD-9A1B-2A08DCDF16BD}IMG100.JPG,The Things We Leave Unfinished,Rebecca Yarros,"Entangled Publishing, LLC",9781682815885,"April 24, 2026 15:34",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/2390-1/{AA5713CE-436A-4F34-A9DB-18AE192A0E58}IMG100.JPG,Full Measures,Rebecca Yarros,"Entangled Publishing, LLC",9781622664344,"April 24, 2026 15:33",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"April 23, 2026 12:31",Renewed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/4575-1/{A5994448-F88D-4107-8302-A2F8B45060FE}IMG100.JPG,Say You'll Remember Me,Abby Jimenez,Hachette Audio,9781668644997,"April 23, 2026 00:00",Returned,LION: Libraries Online, 1 day  early
https://img1.od-cdn.com/ImageType-100/5054-1/{A0700660-7C23-468B-9275-7441225F88DF}Img100.jpg,Once Upon a River,Diane Setterfield,Simon & Schuster Audio,9781508256786,"April 23, 2026 00:00",Returned,LION: Libraries Online, 4 days  early
https://img2.od-cdn.com/ImageType-100/1523-1/{72552E21-574F-4C82-B5AD-D2633CC86989}IMG100.JPG,The Thursday Murder Club,Richard Osman,Penguin Publishing Group,9781984880970,"April 22, 2026 10:44",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/0293-1/{DA29EDCD-236D-4F18-8A09-1B413F340CC6}IMG100.JPG,"Cher, Part One",Cher,HarperCollins,9780062863133,"April 19, 2026 15:17",Returned,LION: Libraries Online, 5 days  early
https://img3.od-cdn.com/ImageType-100/1523-1/{1238396B-4040-4BE8-AB18-B174786A397E}IMG100.JPG,The Guncle,Steven Rowley,Penguin Publishing Group,9780525542292,"April 17, 2026 22:26",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/5054-1/{A0700660-7C23-468B-9275-7441225F88DF}Img100.jpg,Once Upon a River,Diane Setterfield,Simon & Schuster Audio,9781508256786,"April 13, 2026 12:43",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/0293-1/{DA29EDCD-236D-4F18-8A09-1B413F340CC6}IMG100.JPG,"Cher, Part One",Cher,HarperCollins,9780062863133,"April 10, 2026 18:48",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1191-1/{54A43082-1828-4AB2-8235-E90F5B4A1B98}IMG100.JPG,Outlive,"Peter Attia, MD, Bill Gifford",Books on Tape,9780593664452,"April 10, 2026 18:46",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/4575-1/{A5994448-F88D-4107-8302-A2F8B45060FE}IMG100.JPG,Say You'll Remember Me,Abby Jimenez,Hachette Audio,9781668644997,"April 10, 2026 18:45",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0439-1/{62641A09-429F-4D4E-95F6-E9A093A6739D}IMG100.JPG,Once Upon a River,Diane Setterfield,Atria/Emily Bestler Books,9781501190230,"April 07, 2026 22:31",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/5054-1/{A0700660-7C23-468B-9275-7441225F88DF}Img100.jpg,Once Upon a River,Diane Setterfield,Simon & Schuster Audio,9781508256786,"April 07, 2026 22:31",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/1493-1/{AAB73065-3FD7-4519-ABEE-6162C71AE8B8}Img100.jpg,American Dirt,Jeanine Cummins,Macmillan Audio,9781250260604,"April 07, 2026 20:13",Returned,LION: Libraries Online,on due date
https://img3.od-cdn.com/ImageType-100/1523-1/{1238396B-4040-4BE8-AB18-B174786A397E}IMG100.JPG,The Guncle,Steven Rowley,Penguin Publishing Group,9780525542292,"April 03, 2026 22:26",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1493-1/{67E99F63-1846-4747-AEBC-13E0194D8522}IMG100.JPG,Careless People,Sarah Wynn-Williams,Macmillan Audio,9781250403155,"April 03, 2026 22:26",Returned,LION: Libraries Online, 1 day  early
https://img1.od-cdn.com/ImageType-100/0439-1/{A23C75B4-5917-4261-A77A-098B1B492BCD}IMG100.JPG,She's Come Undone,Wally Lamb,Atria Books,9781451654561,"March 31, 2026 00:07",Returned,LION: Libraries Online, 8 days  early
https://img2.od-cdn.com/ImageType-100/0017-1/{F794DAF3-FBCC-4F6E-92D4-1517065574A4}IMG100.JPG,Say You'll Remember Me,Abby Jimenez,Grand Central Publishing,9781538759202,"March 30, 2026 19:40",Returned,LION: Libraries Online, 12 days  early
https://img2.od-cdn.com/ImageType-100/0017-1/{F794DAF3-FBCC-4F6E-92D4-1517065574A4}IMG100.JPG,Say You'll Remember Me,Abby Jimenez,Grand Central Publishing,9781538759202,"March 29, 2026 16:52",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0017-1/{F794DAF3-FBCC-4F6E-92D4-1517065574A4}IMG100.JPG,Say You'll Remember Me,Abby Jimenez,Grand Central Publishing,9781538759202,"March 27, 2026 15:40",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/1523-1/{34EAD3B8-09AE-4126-955A-36E7D05E5BEE}IMG100.JPG,People We Meet on Vacation,Emily Henry,Penguin Publishing Group,9781984806765,"March 27, 2026 15:39",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0439-1/{A23C75B4-5917-4261-A77A-098B1B492BCD}IMG100.JPG,She's Come Undone,Wally Lamb,Atria Books,9781451654561,"March 25, 2026 18:30",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0111-1/{44CC6C2F-2792-4134-AC57-76132FAFA668}IMG100.JPG,The Frozen River,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385546881,"March 25, 2026 10:51",Returned,LION: Libraries Online, 7 days  early
https://img3.od-cdn.com/ImageType-100/1493-1/{AAB73065-3FD7-4519-ABEE-6162C71AE8B8}Img100.jpg,American Dirt,Jeanine Cummins,Macmillan Audio,9781250260604,"March 24, 2026 20:13",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/1493-1/{67E99F63-1846-4747-AEBC-13E0194D8522}IMG100.JPG,Careless People,Sarah Wynn-Williams,Macmillan Audio,9781250403155,"March 22, 2026 10:57",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0111-1/{44CC6C2F-2792-4134-AC57-76132FAFA668}IMG100.JPG,The Frozen River,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385546881,"March 19, 2026 00:14",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/1523-1/{1238396B-4040-4BE8-AB18-B174786A397E}IMG100.JPG,The Guncle,Steven Rowley,Penguin Publishing Group,9780525542292,"March 10, 2026 14:50",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/1493-1/{AD9BFF9F-097A-4DBB-8E45-D9415989C0AF}IMG100.JPG,The Wedding People,Alison Espach,Macmillan Audio,9781250349705,"March 07, 2026 20:04",Returned,LION: Libraries Online,on due date
https://img2.od-cdn.com/ImageType-100/1523-1/{72552E21-574F-4C82-B5AD-D2633CC86989}IMG100.JPG,The Thursday Murder Club,Richard Osman,Penguin Publishing Group,9781984880970,"March 07, 2026 01:25",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/1493-1/{67E99F63-1846-4747-AEBC-13E0194D8522}IMG100.JPG,Careless People,Sarah Wynn-Williams,Macmillan Audio,9781250403155,"March 07, 2026 01:24",Placed on hold,LION: Libraries Online
https://img3.od-cdn.com/ImageType-100/0293-1/{C3BBE655-6D01-422A-8CE2-95F474011E1D}IMG100.JPG,We Are All Guilty Here,Karin Slaughter,HarperCollins,9780063336797,"March 07, 2026 01:19",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/1191-1/{B7236379-8D9D-4BF8-8836-FB84A00A54DE}IMG100.JPG,The Correspondent,Virginia Evans,Books on Tape,9798217066384,"March 07, 2026 01:16",Placed on hold,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/0111-1/{44CC6C2F-2792-4134-AC57-76132FAFA668}IMG100.JPG,The Frozen River,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385546881,"March 04, 2026 23:35",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/0111-1/{638AF1CC-CCEB-4C9A-91B0-26CB368E04B0}IMG100.JPG,I Was Anastasia,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385541701,"February 28, 2026 21:44",Returned,LION: Libraries Online, 2 days  early
https://img1.od-cdn.com/ImageType-100/1191-1/{A53FDC7C-CA8D-49F7-BC83-B20478144AB0}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Books on Tape,9780593614204,"February 28, 2026 16:10",Placed on hold,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/1191-1/{A53FDC7C-CA8D-49F7-BC83-B20478144AB0}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Books on Tape,9780593614204,"February 27, 2026 23:27",Returned,LION: Libraries Online, 8 days  early
https://img2.od-cdn.com/ImageType-100/2343-1/{2DB8F891-B7F5-4B50-9263-2080BDA63DDA}IMG100.JPG,Never Lie,Freida McFadden,Hollywood Upstairs Press,9781666626063,"February 23, 2026 01:37",Returned,LION: Libraries Online, 12 days  early
https://img1.od-cdn.com/ImageType-100/0111-1/{53102E0C-AC34-44B2-A219-18A749FE2D0E}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Random House Publishing Group,9780593158722,"February 22, 2026 15:16",Hold expired,LION: Libraries Online
https://img1.od-cdn.com/ImageType-100/1191-1/{A53FDC7C-CA8D-49F7-BC83-B20478144AB0}IMG100.JPG,Atmosphere,Taylor Jenkins Reid,Books on Tape,9780593614204,"February 22, 2026 14:51",Borrowed,LION: Libraries Online, 14 days 
https://img2.od-cdn.com/ImageType-100/0111-1/{44CC6C2F-2792-4134-AC57-76132FAFA668}IMG100.JPG,The Frozen River,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385546881,"February 21, 2026 23:56",Hold expired,LION: Libraries Online
https://img2.od-cdn.com/ImageType-100/2343-1/{2DB8F891-B7F5-4B50-9263-2080BDA63DDA}IMG100.JPG,Never Lie,Freida McFadden,Hollywood Upstairs Press,9781666626063,"February 21, 2026 20:05",Borrowed,LION: Libraries Online, 14 days 
https://img1.od-cdn.com/ImageType-100/1493-1/{AD9BFF9F-097A-4DBB-8E45-D9415989C0AF}IMG100.JPG,The Wedding People,Alison Espach,Macmillan Audio,9781250349705,"February 21, 2026 20:04",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/1219-1/{1E9B913B-FE9C-4EFC-92FF-33FFC2216686}Img100.jpg,The Life We Bury,Allen Eskens,"Tantor Media, Inc",9781494583880,"February 21, 2026 16:17",Returned,LION: Libraries Online, 9 days  early
https://img1.od-cdn.com/ImageType-100/2390-1/{5AB85CE1-3475-4689-800A-3BFF5AE66FB8}IMG100.JPG,The Wedding People,Alison Espach,Henry Holt and Co.,9781250899569,"February 18, 2026 23:12",Returned,LION: Libraries Online,on due date
https://img1.od-cdn.com/ImageType-100/0111-1/{638AF1CC-CCEB-4C9A-91B0-26CB368E04B0}IMG100.JPG,I Was Anastasia,Ariel Lawhon,Knopf Doubleday Publishing Group,9780385541701,"February 17, 2026 16:09",Borrowed,LION: Libraries Online, 14 days 
https://img3.od-cdn.com/ImageType-100/1219-1/{1E9B913B-FE9C-4EFC-92FF-33FFC2216686}Img100.jpg,The Life We Bury,Allen Eskens,"Tantor Media, Inc",9781494583880,"February 17, 2026 01:01",Borrowed,LION: Libraries Online, 14 days 
